site;behaviour;category;complexity;presence;ref
Kayan;termite_fishing_with_tool;termite;1;1;
Kayan;underground_perforation_with_toolset;perforate honey/termites;2;0;
Kayan;water_dipping;water;1;0;
Korup;accumulative_stone_throwing;communication;2;0;PanAf Data
Korup;algae_fishing_with_tool;algae;1;0;
Korup;ant_dipping_with_tool;ant;1;0;
Korup;ant_eating_without_tools;ant;0;0;
Korup;ant_fishing_with_tool;ant;1;1;
Korup;cave_use;thermoregulation;0;0;
Korup;ground_nest;ground protection;0;0;
Korup;honey_aerial_with_tool;honey;1;0;
Korup;honey_aerial_with_toolset;honey;2;0;
Korup;honey_eating_without_tools;honey;0;0;
Korup;leaf_clipping;communication;1;0;
Korup;leaf_cushion;ground protection;0;1;
Korup;leaf_sponge;water;1;0;
Korup;marrow_pick;vertebrates;1;0;
Korup;nut_cracking;nut;2;0;
Korup;stone_throwing;communication;1;0;
Korup;termite_eating_without_tools;termite;0;0;
Korup;termite_fishing_with_tool;termite;1;1;
Korup;underground_perforation_with_toolset;perforate honey/termites;2;1;
Korup;water_dipping;water;1;0;
LaBelgique;accumulative_stone_throwing;communication;2;0;PanAf Data
LaBelgique;algae_fishing_with_tool;algae;1;0;Deblauwe 2006 New Evidence of Honey-Stick Use by Chimpanzees in Southeast Cameroon. Pan African News 13: 2-4
LaBelgique;ant_dipping_with_tool;ant;1;0;Deblauwe 2009 Temporal Variation in Insect-eating by Chimpanzees and Gorillas in Southeast Cameroon: Extension of Niche Differentiation International Journal of Primatology 30: 229-252
LaBelgique;ant_eating_without_tools;ant;0;1;
LaBelgique;ant_fishing_with_tool;ant;1;0;
LaBelgique;cave_use;thermoregulation;0;0;
LaBelgique;ground_nest;ground protection;0;1;
LaBelgique;honey_aerial_with_tool;honey;1;1;
LaBelgique;honey_aerial_with_toolset;honey;2;1;
LaBelgique;honey_eating_without_tools;honey;0;1;
LaBelgique;leaf_clipping;communication;1;0;
LaBelgique;leaf_cushion;ground protection;0;0;
LaBelgique;leaf_sponge;water;1;0;
LaBelgique;marrow_pick;vertebrates;1;0;
LaBelgique;nut_cracking;nut;2;0;
LaBelgique;stone_throwing;communication;1;0;
LaBelgique;termite_eating_without_tools;termite;0;0;
LaBelgique;termite_fishing_with_tool;termite;1;1;
LaBelgique;underground_perforation_with_toolset;perforate honey/termites;2;1;
LaBelgique;water_dipping;water;1;0;
Loango;accumulative_stone_throwing;communication;2;0;PanAf data
Loango;algae_fishing_with_tool;algae;1;0;"\Boesch 2012 Wild Cultures: A Comparison between Chimpanzee and Human Cultures. Cambridge University Press: Cambridge, UK.\"""""
Loango;ant_dipping_with_tool;ant;1;0;"\Boesch et al. 2009 Complex Tool Sets for Honey Extraction among Chimpanzees in Loango National Park, Gabon Journal of Human Evolution 56: 560-569\"""""
Loango;ant_eating_without_tools;ant;0;1;
Loango;ant_fishing_with_tool;ant;1;0;
Loango;cave_use;thermoregulation;0;0;
Loango;ground_nest;ground protection;0;0;
Loango;honey_aerial_with_tool;honey;1;1;
Loango;honey_aerial_with_toolset;honey;2;1;
Loango;honey_eating_without_tools;honey;0;1;
Loango;leaf_clipping;communication;1;0;
Loango;leaf_cushion;ground protection;0;0;
Loango;leaf_sponge;water;1;1;
Loango;marrow_pick;vertebrates;1;0;
Loango;nut_cracking;nut;2;0;
Loango;stone_throwing;communication;1;0;
Loango;termite_eating_without_tools;termite;0;1;
Loango;termite_fishing_with_tool;termite;1;0;
Loango;underground_perforation_with_toolset;perforate honey/termites;2;1;
Loango;water_dipping;water;1;0;
Lope;accumulative_stone_throwing;communication;2;0;
Lope;algae_fishing_with_tool;algae;1;0;
Lope;ant_dipping_with_tool;ant;1;0;
Lope;ant_eating_without_tools;ant;0;1;
Lope;ant_fishing_with_tool;ant;1;1;
Lope;cave_use;thermoregulation;0;0;
Lope;ground_nest;ground protection;0;0;
Lope;honey_aerial_with_tool;honey;1;1;
Lope;honey_aerial_with_toolset;honey;2;1;
Lope;honey_eating_without_tools;honey;0;0;
Lope;leaf_clipping;communication;1;0;
Lope;leaf_cushion;ground protection;0;0;
Lope;leaf_sponge;water;1;1;
Lope;marrow_pick;vertebrates;1;0;
Lope;nut_cracking;nut;2;0;
Lope;stone_throwing;communication;1;0;
Lope;termite_eating_without_tools;termite;0;0;
Lope;termite_fishing_with_tool;termite;1;0;
Lope;underground_perforation_with_toolset;perforate honey/termites;2;0;
Lope;water_dipping;water;1;0;
Mbe;accumulative_stone_throwing;communication;2;0;PanAf Data
Mbe;algae_fishing_with_tool;algae;1;0;
Mbe;ant_dipping_with_tool;ant;1;0;
Mbe;ant_eating_without_tools;ant;0;0;
Mbe;ant_fishing_with_tool;ant;1;0;
