site2;site1;dyadID;behaviour;complexity;presence1;presence2;shared;ibdbinary;ibdsource;neprabinary;neprasimilarity;sameregion;samehabitat;distance;min_observationtime_months;lon1;lat1;lon2;lat2;region1;region2;habitat1;habitat2;obstime1;obstime2;z.log.nepra;z.log.geo;z.obstime;z.log.obstime;refug.x;precip.x;refug.y;precip.y;meanref;z.sqrt.ref;meanprecip;z.log.precip
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Termite eating;0;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Ant dipping;1;1;1;1;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Algae fishing;1;1;1;1;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Marrow pick;1;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Ant fishing;1;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Underground toolset;2;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Korup;Bakoun-Sobory_Korup;Honey eating;0;0;1;0;0;0;0;0.000555256;0;0;2325228.689;14;8.8687042;5.123873041;-11.20404681;11.68425259;NC;W;forest;savannah;16;14;0.091887049;0.387204174;-0.192856179;0.087532125;0;58;465.7672566;112;232.8836283;0.408988794;85;0.855493016
Bakoun-Sobory;Korup;Bakoun-Sobory_Korup;Honey toolset;2;0;0;0;0;0;0;0.000555256;0;0;2325228.689;14;8.8687042;5.123873041;-11.20404681;11.68425259;NC;W;forest;savannah;16;14;0.091887049;0.387204174;-0.192856179;0.087532125;0;58;465.7672566;112;232.8836283;0.408988794;85;0.855493016
Bakoun-Sobory;Korup;Bakoun-Sobory_Korup;Honey underground ;1;0;0;0;0;0;0;0.000555256;0;0;2325228.689;14;8.8687042;5.123873041;-11.20404681;11.68425259;NC;W;forest;savannah;16;14;0.091887049;0.387204174;-0.192856179;0.087532125;0;58;465.7672566;112;232.8836283;0.408988794;85;0.855493016
Bakoun-Sobory;Korup;Bakoun-Sobory_Korup;Leaf sponge;1;0;0;0;0;0;0;0.000555256;0;0;2325228.689;14;8.8687042;5.123873041;-11.20404681;11.68425259;NC;W;forest;savannah;16;14;0.091887049;0.387204174;-0.192856179;0.087532125;0;58;465.7672566;112;232.8836283;0.408988794;85;0.855493016
Bakoun-Sobory;Korup;Bakoun-Sobory_Korup;Marrow pick;1;0;0;0;0;0;0;0.000555256;0;0;2325228.689;14;8.8687042;5.123873041;-11.20404681;11.68425259;NC;W;forest;savannah;16;14;0.091887049;0.387204174;-0.192856179;0.087532125;0;58;465.7672566;112;232.8836283;0.408988794;85;0.855493016
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Leaf sponge;1;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Termite fishing;1;0;1;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Ant eating;0;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Honey above-ground;1;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Water dipping;1;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Djouroutou;Bakoun-Sobory_Djouroutou;Nut cracking;2;1;NA;NA;1;tableS9;1;0.002066116;1;0;821564.3884;14;-7.205258661;5.411101561;-11.20404681;11.68425259;W;W;forest;savannah;16;14;0.879226461;-0.674203482;-0.192856179;0.087532125;11.70184708;46;465.7672566;112;238.7345518;0.444517575;79;0.589063441
Bakoun-Sobory;Djouroutou;Bakoun-Sobory_Djouroutou;Ant dipping;1;0;1;0;1;tableS9;1;0.002066116;1;0;821564.3884;14;-7.205258661;5.411101561;-11.20404681;11.68425259;W;W;forest;savannah;16;14;0.879226461;-0.674203482;-0.192856179;0.087532125;11.70184708;46;465.7672566;112;238.7345518;0.444517575;79;0.589063441
Bakoun-Sobory;Djouroutou;Bakoun-Sobory_Djouroutou;Honey underground ;1;0;0;0;1;tableS9;1;0.002066116;1;0;821564.3884;14;-7.205258661;5.411101561;-11.20404681;11.68425259;W;W;forest;savannah;16;14;0.879226461;-0.674203482;-0.192856179;0.087532125;11.70184708;46;465.7672566;112;238.7345518;0.444517575;79;0.589063441
Bakoun-Sobory;La Belgique;Bakoun-Sobory_La Belgique;Ant eating;0;1;0;0;0;0;0;4.62E-05;0;0;2831383.96;14;13.09056823;3.384251296;-11.20404681;11.68425259;C;W;forest;savannah;51;14;-1.397979649;0.588135219;-0.192856179;0.087532125;194.3661953;57;465.7672566;112;330.066726;0.951157835;84.5;0.834020511
Bakoun-Sobory;La Belgique;Bakoun-Sobory_La Belgique;Ant fishing;1;0;0;0;0;0;0;4.62E-05;0;0;2831383.96;14;13.09056823;3.384251296;-11.20404681;11.68425259;C;W;forest;savannah;51;14;-1.397979649;0.588135219;-0.192856179;0.087532125;194.3661953;57;465.7672566;112;330.066726;0.951157835;84.5;0.834020511
Bakoun-Sobory;La Belgique;Bakoun-Sobory_La Belgique;Leaf sponge;1;0;0;0;0;0;0;4.62E-05;0;0;2831383.96;14;13.09056823;3.384251296;-11.20404681;11.68425259;C;W;forest;savannah;51;14;-1.397979649;0.588135219;-0.192856179;0.087532125;194.3661953;57;465.7672566;112;330.066726;0.951157835;84.5;0.834020511
